qid,verdict,confidence,note,question,gold_ids,gold_names
62912,OK,high,,Sau khi Giấy phép thăm dò khoáng sản hết hiệu lực tổ chức thăm dò khoáng sản có nghĩa vụ gì?,117172,Luat-khoang-san-2010-115263
12044,OK,high,,Nhà đầu tư dự án PPP được đề nghị lựa chọn khi đáp ứng các điều kiện nào?,144472,Luat-Dau-tu-theo-hinh-thuc-doi-tac-cong-tu-so-64-2020-QH14-3
104916,OK,high,"Mục 20 -> III. CHỐNG CHỈ ĐỊNH, 7 khoản. 190541 cũng có chống chỉ định cho chân chữ X nhưng là PHẪU THUẬT, khác thủ thuật",Nắn chỉnh hình tật chân chữ X chống chỉ định khi nào?,171181,Quyet-dinh-199-QD-BYT-2014-Huong-dan-quy-trinh-ky-thuat-chuy
80452,OK,high,Điều 34 (người quản lý). Cẩn thận Điều 5 (công chức) và Điều 43 (người đại diện) cùng tên 'Căn cứ đánh giá',Căn cứ đánh giá phân loại người quản lý tại các đơn vị thuộc Ngân hàng Nhà nước là gì?,164915,Quyet-dinh-2599-QD-NHNN-2015-ve-danh-gia-phan-loai-cong-chuc
14964,OK,medium,"Điều 22 khoản 6 + Điều 23. Luật không nói được/không được, chỉ quy định thủ tục cấp lại -> trả lời gián tiếp",Hiện tại muốn đăng ký kết hôn thì có xin lại Giấy xác nhận tình trạng hôn nhân được không? ,60283,Nghi-dinh-123-2015-ND-CP-huong-dan-Luat-ho-tich-282304
144420,OK,high,"Điều 24 (thông tin công bố), không phải Điều 23 (thời gian)",Danh sách người giám định tư pháp theo vụ việc được công bố với những thông tin nào?,260763,Nghi-dinh-85-2013-ND-CP-huong-dan-thi-hanh-Luat-giam-dinh-tu
140348,OK,high,"50881 chính (mục Đối tượng thực hiện), 170066 bổ trợ (Điều 2 đối tượng áp dụng)",Những đối tượng nào thực hiện đăng ký tham gia bảo hiểm xã hội tự nguyện trên Cổng Dịch vụ công?,50881|170066,Quyet-dinh-49-QD-BHXH-2023-dich-vu-cong-truc-tuyen-Dang-ky-t ‖ Nghi-dinh-134-2015-ND-CP-huong-dan-Luat-Bao-hiem-xa-hoi-ve-b
125300,OK,high,"Điều 16 khoản 5, trùng nguyên văn tiêu đề kể cả cụm loại trừ 'trừ cao dược liệu'",Cách ghi tên bán thành phẩm dược liệu trừ cao dược liệu trong công thức thuốc như thế nào?,298928,Thong-tu-01-2018-TT-BYT-ghi-nhan-thuoc-nguyen-lieu-lam-thuoc
79406,OK,high,"Điều 4 'Tiêu chuẩn tuyển quân': tuổi đời, chính trị, sức khỏe, văn hóa",Tiêu chuẩn tuyển quân đi thực hiện nghĩa vụ quân sự theo quy định pháp luật ,297709,Thong-tu-148-2018-TT-BQP-quy-dinh-tuyen-chon-va-goi-cong-dan
119006,N-TRUNC,high,"doc 169533 chỉ 1.347 ký tự, chỉ có phần Quyết định; Quy chế nằm ở FILE ĐÍNH KÈM không có trong corpus",Khu dân cư đề nghị công nhận danh hiệu Khu dân cư sức khỏe thì hồ sơ gồm những gì?,169533,Quyet-dinh-1467-QD-BYT-quy-che-cong-nhan-danh-hieu-Gia-dinh-
68836,N-ALTOK,high,"162267 (HNX), 86112 (UPCoM), 295542 (phái sinh) cùng quy tắc ưu tiên giá-thời gian; câu hỏi không nêu sàn",Sở giao dịch chứng khoán thực hiện so khớp lệnh mua chứng khoán và lệnh bán chứng khoán theo thứ tự ưu tiên nào?,201484,Quyet-dinh-352-QD-SGDHCM-2021-Quy-che-giao-dich-tai-So-Giao-
80250,OK,high,"Điều 65 (bắt buộc), không phải Điều 39 (tự nguyện). Cụm '0,8 mức lương cơ sở' duy nhất trong corpus","Trong các cơ sở cai nghiện ma túy bắt buộc thì chế độ ăn, uống, mặc ra sao?",230411,Nghi-dinh-116-2021-ND-CP-huong-dan-Luat-Phong-chong-ma-tuy-v
45110,OK,high,"128696 chính (cụm 'Giấy thông hành nhập xuất cảnh' duy nhất trong corpus), 52666 khung pháp lý bổ trợ",Giấy thông hành nhập xuất cảnh được hiểu như thế nào?,52666|128696,Luat-Xuat-canh-nhap-canh-cua-cong-dan-Viet-Nam-2019-402073 ‖ Thong-tu-43-2011-TT-BCA-huong-dan-cap-giay-thong-hanh-nhap-x
